判決字號,情事變更適用,是否為公共工程,施工地點,情事變更的原因,審級,約款類型,公共工程金額類型
臺灣臺南地方法院民事判決 111年度建字第92號,是,是,臺南,物價波動,地方法院,物價,巨額採購
臺灣臺中地方法院 111 年度建字第 79 號民事判決,是,否,臺中,物價波動,地方法院,物價,
臺灣嘉義地方法院 108 年度建字第 19 號民事判決,是,是,嘉義,地質因素,地方法院,變更設計,巨額採購
臺灣嘉義地方法院 112 年度建字第 6 號民事判決,是,是,嘉義,物價波動,地方法院,物價,查核金額
臺灣嘉義地方法院 111 年度訴字第 96 號民事判決,否,否,嘉義,物價波動,地方法院,物價,
臺灣高等法院 108 年度重上字第 1011 號民事判決,否,否,臺北,物價波動,高等法院,物價,
臺灣高等法院 107 年度重上字第 698 號民事判決,否,否,新北,物價波動,高等法院,物價,
臺灣高等法院 臺南分院 112 年度建上字第 12 號民事判決,是,是,嘉義,物價波動,高等法院,物價,巨額採購
臺灣高等法院 高雄分院 103 年度建上字第 14 號民事判決,否,是,屏東,物價波動,高等法院,物價,巨額採購
臺灣高等法院 高雄分院 101 年度建上字第 36 號民事判決,否,否,高雄,物價波動,高等法院,物價,
臺灣花蓮地方法院 98 年度訴字第 298 號民事判決,是,是,花蓮,物價波動,地方法院,物價,公告金額
臺灣臺北地方法院 94 年度建字第 223 號民事判決,否,是,臺北,物價波動,地方法院,物價,巨額採購
臺灣士林地方法院 98 年度建字第 67 號民事判決,是,是,臺北,物價波動,地方法院,物價,公告金額
臺灣高等法院 花蓮分院 99 年度建上字第 1 號民事判決,否,是,花蓮,物價波動,地方法院,物價,公告金額
臺灣花蓮地方法院 98 年度訴字第 298 號民事判決,否,是,花蓮,物價波動,地方法院,物價,公告金額
最高法院 110 年度台上字第 1072 號民事判決,是,否,臺中,物價波動,最高法院,物價,
臺灣臺中地方法院 111 年度建字第 79 號民事判決,否,否,臺中,物價波動,地方法院,物價,
臺灣臺中地方法院 103 年度建字第 80 號民事判決,是,否,臺中,漏項,地方法院,變更設計,
臺灣高雄地方法院 110 年度建字第 14 號民事判決,否,是,高雄,地質因素,地方法院,工期約定,公告金額
臺灣新北地方法院 101 年度建字第 9 號民事判決,否,是,新北,變更設計,地方法院,變更設計,查核金額
臺灣高等法院 108 年度重上字第 1011 號民事判決,否,是,臺北,變更設計,高等法院,變更設計,巨額採購
臺灣高雄地方法院 95 年度建字第 77 號民事判決,是,是,高雄,物價波動,地方法院,物價,巨額採購
臺灣高等法院 高雄分院 103 年度建上更(一)字第 5 號民事判決,是,是,高雄,變更設計,高等法院,變更設計,巨額採購
臺灣高等法院 臺中分院 106 年度建上字第 29 號民事判決,是,是,臺中,工期展延,高等法院,工期約定,巨額採購
臺灣高等法院 106 年度建上更(二)字第 11 號民事判決,否,是,臺北,工期展延,高等法院,工期約定,巨額採購
臺灣基隆地方法院 105 年度建字第 14 號民事判決,否,是,基隆,工期展延,地方法院,工期約定,公告金額
臺灣嘉義地方法院 104 年度建字第 17 號民事判決,是,是,嘉義,天災或自然災害,地方法院,工期約定,公告金額
